Scan,MMI,VI,TI
np_brain0_scaled,100,100,100
np_brain10_scaled,100,100,100
np_brain11_scaled,100,86,100
np_brain12_scaled,100,100,100
np_brain13_scaled,83,100,100
np_brain14_scaled,81,82,94
np_brain15_scaled,100,62,100
np_brain16_scaled,100,100,100
np_brain17_scaled,100,91,100
np_brain18_scaled,100,100,100
np_brain19_scaled,100,100,100
np_brain1_scaled,100,97,100
np_brain2_scaled,100,100,100
np_brain3_scaled,100,100,100
np_brain4_scaled,100,100,100
np_brain5_scaled,100,100,100
np_brain6_scaled,100,100,100
np_brain7_scaled,100,100,100
np_brain8_scaled,100,100,100
np_brain9_scaled,100,100,100
