Scan,MMI,VI,TI
np_GL_09B11_AE_01_012410A_scaled,69,73,66
np_GL_10A07_AE_01_011511B_scaled,100,100,100
np_GL_24B09_AE_01_102709B_scaled,37,30,85
np_GL_31B04_AE_01_031911B_scaled,69,94,44
np_GL_39A12_AE_01_051609B_scaled,92,61,92
np_GL_39H11_AE_01_080409B_scaled,53,29,89
np_GL_43A11_AE_01_101609B_scaled,72,79,84
np_GL_43A12_AE_01_101210B_scaled,100,100,91
np_GL_47C10_AE_01_061509A_scaled,75,55,91
np_GL_49C01_AE_01_111710A_scaled,93,71,47
np_GL_53A06_AE_01_081209A_scaled,47,18,62
np_GL_53H01_AE_01_021611A_scaled,78,72,81
np_GL_58E05_AE_01_082709B_scaled,87,89,52
np_GL_60A07_AE_01_091509A_scaled,57,34,80
np_GL_60F09_AE_01_012010A_scaled,73,82,87
np_GL_62A03_AD_01_020610A_scaled,71,92,92
np_GL_68B03_AE_01_110408B_scaled,84,68,76
np_GL_73B11_AE_01_121309B_scaled,77,44,72
np_GL_79B07_AE_01_100110B_scaled,83,75,66
np_GL_85B08_AE_01_081210A_scaled,78,80,75
np_GL_89B10_AE_01_090410A_scaled,81,59,43
np_GL_93A08_AE_01_071110B_scaled,85,97,91
np_GL_93F05_AE_01_090310A_scaled,64,56,78
np_GL_96A08_AD_01_031911B_scaled,85,59,91
