Scan,MMI,VI,TI
np_GL_09B11_AE_01_012410A_scaled,69,74,66
np_GL_10A07_AE_01_011511B_scaled,100,100,100
np_GL_24B09_AE_01_102709B_scaled,36,40,80
np_GL_31B04_AE_01_031911B_scaled,66,94,43
np_GL_39A12_AE_01_051609B_scaled,90,54,87
np_GL_39H11_AE_01_080409B_scaled,53,32,86
np_GL_43A11_AE_01_101609B_scaled,72,74,86
np_GL_43A12_AE_01_101210B_scaled,100,100,94
np_GL_47C10_AE_01_061509A_scaled,76,58,85
np_GL_49C01_AE_01_111710A_scaled,94,56,44
np_GL_53A06_AE_01_081209A_scaled,46,19,67
np_GL_53H01_AE_01_021611A_scaled,75,65,76
np_GL_58E05_AE_01_082709B_scaled,88,92,57
np_GL_60A07_AE_01_091509A_scaled,58,34,81
np_GL_60F09_AE_01_012010A_scaled,74,84,89
np_GL_62A03_AD_01_020610A_scaled,72,99,90
np_GL_68B03_AE_01_110408B_scaled,81,66,62
np_GL_73B11_AE_01_121309B_scaled,76,46,75
np_GL_79B07_AE_01_100110B_scaled,82,56,62
np_GL_85B08_AE_01_081210A_scaled,73,80,62
np_GL_89B10_AE_01_090410A_scaled,80,62,44
np_GL_93A08_AE_01_071110B_scaled,85,92,90
np_GL_93F05_AE_01_090310A_scaled,63,55,81
np_GL_96A08_AD_01_031911B_scaled,81,46,91
