Scan,MMI,VI,TI
np_GL_09B11_AE_01_012410A_scaled,71,73,72
np_GL_10A07_AE_01_011511B_scaled,100,100,100
np_GL_24B09_AE_01_102709B_scaled,37,35,83
np_GL_31B04_AE_01_031911B_scaled,69,95,43
np_GL_39A12_AE_01_051609B_scaled,98,73,97
np_GL_39H11_AE_01_080409B_scaled,55,30,88
np_GL_43A11_AE_01_101609B_scaled,74,80,89
np_GL_43A12_AE_01_101210B_scaled,100,100,100
np_GL_47C10_AE_01_061509A_scaled,78,59,91
np_GL_49C01_AE_01_111710A_scaled,95,62,48
np_GL_53A06_AE_01_081209A_scaled,47,20,72
np_GL_53H01_AE_01_021611A_scaled,80,91,79
np_GL_58E05_AE_01_082709B_scaled,90,83,58
np_GL_60A07_AE_01_091509A_scaled,58,33,82
np_GL_60F09_AE_01_012010A_scaled,74,81,92
np_GL_62A03_AD_01_020610A_scaled,73,97,92
np_GL_68B03_AE_01_110408B_scaled,86,68,68
np_GL_73B11_AE_01_121309B_scaled,80,49,75
np_GL_79B07_AE_01_100110B_scaled,86,85,70
np_GL_85B08_AE_01_081210A_scaled,79,84,60
np_GL_89B10_AE_01_090410A_scaled,83,64,43
np_GL_93A08_AE_01_071110B_scaled,87,99,91
np_GL_93F05_AE_01_090310A_scaled,67,69,81
np_GL_96A08_AD_01_031911B_scaled,87,60,92
